condition,joint,error_mean_rad,error_p95_rad,error_max_rad,path_speed_max_rad_s,speed_max_rad_s,approx_effort_max_Nm,approx_near_fraction_NOT_drive,approx_clipped_fraction_NOT_drive,drive_saturation
present,base,0.02052542249913569,0.04953228533267975,0.050418704748153687,0.9430897235870361,0.7873155474662781,3.774552345275879,0.0,0.0,UNKNOWN
present,shoulder,0.04382289379955856,0.11805071476846929,0.1280001550912857,3.3960722386837006,2.68064284324646,35.75428771972656,0.0,0.0,UNKNOWN
present,elbow,0.032040668858422175,0.05366040468215941,0.057593584060668945,1.2610530853271484,1.6695739030838013,15.817071914672852,0.0,0.0,UNKNOWN
present,wrist1,0.0710758611007973,0.29807958602905255,0.4117269515991211,8.626699447631836,6.184111595153809,21.67205810546875,0.0,0.0,UNKNOWN
present,wrist2,0.07995443391027274,0.14355685263872145,0.14835381507873535,2.6152467727661133,1.9953749179840088,9.70063304901123,0.0,0.0,UNKNOWN
present,wrist3,0.13589004234031396,0.5001458287239071,0.7347304821014404,8.82608413696289,3.6935887336730957,15.45354175567627,0.009259259259259259,0.009259259259259259,UNKNOWN
absent,base,0.022231423054580337,0.04966927170753479,0.05040842294692993,0.9430897235870361,0.7871389389038086,3.9826245307922363,0.0,0.0,UNKNOWN
absent,shoulder,0.0393221054066628,0.12303240578621623,0.13455434516072273,3.3960722386837006,2.8094544410705566,38.06578063964844,0.0,0.0,UNKNOWN
absent,elbow,0.029926375106528954,0.05013782978057861,0.05123639106750488,1.2610530853271484,1.5466381311416626,14.987170219421387,0.0,0.0,UNKNOWN
absent,wrist1,0.07180632926799634,0.2980889797210691,0.4117310047149658,8.626699447631836,6.184210777282715,21.670997619628906,0.0,0.0,UNKNOWN
absent,wrist2,0.08382545121841961,0.15235027670860288,0.16171401739120483,2.6152467727661133,1.9937455654144287,14.448347091674805,0.0,0.0,UNKNOWN
absent,wrist3,0.1495523695592527,0.48519086837768516,0.7227776050567627,8.82608413696289,3.6335043907165527,23.299240112304688,0.027777777777777776,0.027777777777777776,UNKNOWN
