time_s,reference_frame,present_position_m,present_rotation_rad,absent_position_m,absent_rotation_rad,source_position_m,source_rotation_rad,paired_actual_difference_position_m,paired_actual_difference_rotation_rad,reproduction_difference_position_m,reproduction_difference_rotation_rad
8.333333333333333218e-03,1.000000000000000000e+00,2.820930170522714144e-03,8.911716507689250097e-03,2.820930170522714144e-03,8.911716507689250097e-03,2.820930170522714144e-03,8.911716507689250097e-03,0.000000000000000000e+00,4.214684851089403467e-08,0.000000000000000000e+00,4.214684851089403467e-08
1.666666666666666644e-02,1.000000000000000000e+00,5.222336068261479967e-03,1.629054195411267641e-02,5.222336068261479967e-03,1.629054195411267641e-02,5.222336068261479967e-03,1.629054195411267641e-02,0.000000000000000000e+00,2.980232238769531250e-08,0.000000000000000000e+00,2.980232238769531250e-08
2.500000000000000139e-02,1.000000000000000000e+00,7.189871274138185699e-03,2.231582978606478501e-02,7.189871274138185699e-03,2.231582978606478501e-02,7.189871274138185699e-03,2.231582978606478501e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.000000000000000000e+00,8.750362376966072317e-03,2.725502850506441449e-02,8.750362376966072317e-03,2.725502850506441449e-02,8.750362376966072317e-03,2.725502850506441449e-02,0.000000000000000000e+00,4.214684851089403467e-08,0.000000000000000000e+00,4.214684851089403467e-08
4.166666666666666435e-02,2.000000000000000000e+00,9.046119071517436105e-03,2.820858899959993726e-02,9.046119071517436105e-03,2.820858899959993726e-02,9.046119071517436105e-03,2.820858899959993726e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,9.412182123615131860e-03,2.883955897631555743e-02,9.412182123615131860e-03,2.883955897631555743e-02,9.412182123615131860e-03,2.883955897631555743e-02,0.000000000000000000e+00,2.980232238769531250e-08,0.000000000000000000e+00,2.980232238769531250e-08
5.833333333333333426e-02,2.000000000000000000e+00,9.895266270479891740e-03,2.934094576911953217e-02,9.895266270479891740e-03,2.934094576911953217e-02,9.895266270479891740e-03,2.934094576911953217e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666574e-02,2.000000000000000000e+00,1.047672189543860655e-02,2.985974674866821721e-02,1.047672189543860655e-02,2.985974674866821721e-02,1.047672189543860655e-02,2.985974674866821721e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,3.000000000000000000e+00,1.141543083165515865e-02,3.100129846803875017e-02,1.141543083165515865e-02,3.100129846803875017e-02,1.141543083165515865e-02,3.100129846803875017e-02,0.000000000000000000e+00,4.214684851089403467e-08,0.000000000000000000e+00,4.214684851089403467e-08
8.333333333333332871e-02,3.000000000000000000e+00,1.238694307386653710e-02,3.234231691407887799e-02,1.238694307386653710e-02,3.234231691407887799e-02,1.238694307386653710e-02,3.234231691407887799e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.166666666666666019e-02,3.000000000000000000e+00,1.329331609690786835e-02,3.366626810182338225e-02,1.329331609690786835e-02,3.366626810182338225e-02,1.329331609690786835e-02,3.366626810182338225e-02,0.000000000000000000e+00,4.214684851089403467e-08,0.000000000000000000e+00,4.214684851089403467e-08
1.000000000000000056e-01,3.000000000000000000e+00,1.406902992820713121e-02,3.488951434369699789e-02,1.406902992820713121e-02,3.488951434369699789e-02,1.406902992820713121e-02,3.488951434369699789e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.083333333333333370e-01,4.000000000000000000e+00,1.480364167378613732e-02,3.775465859277365305e-02,1.480364167378613732e-02,3.775465859277365305e-02,1.480364167378613732e-02,3.775465859277365305e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.166666666666666685e-01,4.000000000000000000e+00,1.537282659053101214e-02,4.100099628767112786e-02,1.537282659053101214e-02,4.100099628767112786e-02,1.537282659053101214e-02,4.100099628767112786e-02,0.000000000000000000e+00,4.214684851089403467e-08,0.000000000000000000e+00,4.214684851089403467e-08
1.250000000000000000e-01,4.000000000000000000e+00,1.508914432268798969e-02,4.474094023124800673e-02,1.577748739848707990e-02,4.434727556844193785e-02,1.508914432268798969e-02,4.474094023124800673e-02,9.530461047141256447e-04,4.283560094671537595e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.333333333333333315e-01,4.000000000000000000e+00,1.390913426341848155e-02,4.997475795442439528e-02,1.602758917537223590e-02,4.771728407062190286e-02,1.390913426341848155e-02,4.997475795442439528e-02,2.998889860478409254e-03,1.025537713025098489e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.416666666666666630e-01,5.000000000000000000e+00,1.286767266371103419e-02,5.576553100992462375e-02,1.600929645740581733e-02,5.270945180414317310e-02,1.286767266371103419e-02,5.576553100992462375e-02,4.481677965136299756e-03,1.393963937000005336e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,5.000000000000000000e+00,1.208828329949645196e-02,6.152507373959565512e-02,1.589127444237371095e-02,5.839890693364123420e-02,1.208828329949645196e-02,6.152507373959565512e-02,5.444384248476958656e-03,1.624484470658895535e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.583333333333333259e-01,5.000000000000000000e+00,1.155194955449751620e-02,6.729630261800756408e-02,1.571409603570057822e-02,6.442259108700872094e-02,1.155194955449751620e-02,6.729630261800756408e-02,5.959075554838920777e-03,1.738253657881520461e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666574e-01,5.000000000000000000e+00,1.122777762193949251e-02,7.309048868594580917e-02,1.550669591875374238e-02,7.065536400442881670e-02,1.122777762193949251e-02,7.309048868594580917e-02,6.100634879280664516e-03,1.756622730672388263e-02,0.000000000000000000e+00,4.214684851089403467e-08
1.749999999999999889e-01,6.000000000000000000e+00,1.101989221669372188e-02,7.869232504538765938e-02,1.529951233714398236e-02,7.707225531969504051e-02,1.101989221669372188e-02,7.869232504538765938e-02,5.944763008845517678e-03,1.700098870146705618e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.833333333333333204e-01,6.000000000000000000e+00,1.100051216918525830e-02,8.507125644432228517e-02,1.511607292184701315e-02,8.419534387396962472e-02,1.100051216918525830e-02,8.507125644432228517e-02,5.562604076760154295e-03,1.587633041874666681e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.916666666666666519e-01,6.000000000000000000e+00,1.115689330987472069e-02,9.190971238847864266e-02,1.497478801828391014e-02,9.164564315811873918e-02,1.115689330987472069e-02,9.190971238847864266e-02,5.022378109240941899e-03,1.436719860839409321e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.000000000000000000e+00,1.114540281764852744e-02,9.948874250096254035e-02,1.488073078416778973e-02,9.930502006832089834e-02,1.114540281764852744e-02,9.948874250096254035e-02,4.879650765513446169e-03,1.463498232073860705e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333426e-01,7.000000000000000000e+00,1.021850166773767381e-02,1.069618863572366213e-01,1.454623145732355377e-02,1.077293579018678144e-01,1.021850166773767381e-02,1.069618863572366213e-01,5.903105743865661413e-03,1.839021617167718031e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.166666666666666741e-01,7.000000000000000000e+00,9.457606750839932241e-03,1.156715172165287131e-01,1.426430202197539153e-02,1.167745106885141465e-01,9.457606750839932241e-03,1.156715172165287131e-01,7.005590845842991909e-03,2.085195191719964314e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,7.000000000000000000e+00,9.017818232105444601e-03,1.244017731161054519e-01,1.405124689841697090e-02,1.260805085977962370e-01,9.017818232105444601e-03,1.244017731161054519e-01,7.803598410898235707e-03,2.289530825985164678e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.333333333333333370e-01,7.000000000000000000e+00,8.729792834012166727e-03,1.332685381975025618e-01,1.391363286570729274e-02,1.355354538423769462e-01,8.729792834012166727e-03,1.332685381975025618e-01,8.510439130096213167e-03,2.485732868380267913e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.416666666666666685e-01,8.000000000000000000e+00,8.388660567732821732e-03,1.406006683785493983e-01,1.315254965356636545e-02,1.435637939544522346e-01,8.388660567732821732e-03,1.406006683785493983e-01,9.207963792636775224e-03,2.680997883571871118e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,8.000000000000000000e+00,8.380878448339854417e-03,1.477105577913551959e-01,1.255682442565018812e-02,1.513199861927448930e-01,8.380878448339854417e-03,1.477105577913551959e-01,9.847692745780222204e-03,2.842002485536624171e-02,0.000000000000000000e+00,4.214684851089403467e-08
2.583333333333333037e-01,8.000000000000000000e+00,8.569587574462671914e-03,1.542197599266133257e-01,1.213417487501743976e-02,1.586641178592559931e-01,8.569587574462671914e-03,1.542197599266133257e-01,1.043762330100281646e-02,3.006959397748032101e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.666666666666666630e-01,8.000000000000000000e+00,8.879793263965214678e-03,1.600787667692797622e-01,1.187610026376370066e-02,1.656299016631528065e-01,8.879793263965214678e-03,1.600787667692797622e-01,1.118352399191440208e-02,3.238463473297494011e-02,0.000000000000000000e+00,4.214684851089403467e-08
2.750000000000000222e-01,9.000000000000000000e+00,9.009682208121422634e-03,1.639001119907350923e-01,1.121228887264314085e-02,1.705372371863342063e-01,9.009682208121422634e-03,1.639001119907350923e-01,1.228781886848698268e-02,3.569274199755820276e-02,0.000000000000000000e+00,4.214684851089403467e-08
2.833333333333333259e-01,9.000000000000000000e+00,9.442817127558057050e-03,1.671766026080863388e-01,1.077654735876396562e-02,1.751871812169415177e-01,9.442817127558057050e-03,1.671766026080863388e-01,1.360950133190229686e-02,3.949469921300005626e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.916666666666666852e-01,9.000000000000000000e+00,1.006727718674226869e-02,1.696161031263719032e-01,1.056931592661061910e-02,1.794674017525968168e-01,1.006727718674226869e-02,1.696161031263719032e-01,1.508546260371886223e-02,4.381389006266087072e-02,0.000000000000000000e+00,2.980232238769531250e-08
2.999999999999999889e-01,9.000000000000000000e+00,1.080893733585382675e-02,1.714722520884694179e-01,1.057395518653485474e-02,1.834277211427818022e-01,1.080893733585382675e-02,1.714722520884694179e-01,1.668427122403266100e-02,4.850241039344527216e-02,0.000000000000000000e+00,2.980232238769531250e-08
3.083333333333333481e-01,1.000000000000000000e+01,1.106339129594313686e-02,1.726593794514395264e-01,1.061016123103705744e-02,1.870318364707933556e-01,1.106339129594313686e-02,1.726593794514395264e-01,1.844160227632414203e-02,5.360305247579016941e-02,0.000000000000000000e+00,2.980232238769531250e-08
3.166666666666666519e-01,1.000000000000000000e+01,1.140464216817371756e-02,1.733946334529820055e-01,1.100801805384207625e-02,1.903429694111987147e-01,1.140464216817371756e-02,1.733946334529820055e-01,2.022099515620576562e-02,5.863257694298252415e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-01,1.000000000000000000e+01,1.175228513814530890e-02,1.733518766277167833e-01,1.169808058921661606e-02,1.932359671133301038e-01,1.175228513814530890e-02,1.733518766277167833e-01,2.196055224607122366e-02,6.363991942122379508e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,1.000000000000000000e+01,1.211739456533022022e-02,1.730520009055330211e-01,1.100921818863121078e-02,2.042329192199272003e-01,1.211739456533022022e-02,1.730520009055330211e-01,2.203951672247510610e-02,6.367736229516733626e-02,0.000000000000000000e+00,2.980232238769531250e-08
3.416666666666666741e-01,1.100000000000000000e+01,1.166923594350876940e-02,1.730176367022061290e-01,9.549510774902205540e-03,2.049748227206489304e-01,1.166923594350876940e-02,1.730176367022061290e-01,2.070876221975503570e-02,6.062114573148809360e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,1.100000000000000000e+01,1.098528764913778849e-02,1.720413603527195523e-01,8.523242010255142539e-03,2.075781282407531125e-01,1.098528764913778849e-02,1.720413603527195523e-01,1.933074099363654708e-02,5.883748513686429260e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.583333333333333370e-01,1.100000000000000000e+01,1.053528488546541172e-02,1.700591804954462716e-01,7.710873401598773366e-03,2.097537757362247790e-01,1.053528488546541172e-02,1.700591804954462716e-01,1.822003102760842708e-02,5.860392313813023862e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.666666666666666408e-01,1.100000000000000000e+01,1.028987629403677398e-02,1.678248442213510772e-01,7.119691270319960900e-03,2.113782675905757080e-01,1.028987629403677398e-02,1.678248442213510772e-01,1.740255100266497115e-02,5.913043811671493677e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,1.200000000000000000e+01,1.087104280244279193e-02,1.660166417453336762e-01,6.091770313107465994e-03,2.125260091880341595e-01,1.087104280244279193e-02,1.660166417453336762e-01,1.679168158886339829e-02,5.970947676907657764e-02,0.000000000000000000e+00,4.214684851089403467e-08
3.833333333333333037e-01,1.200000000000000000e+01,1.138644350301909816e-02,1.643995374004770804e-01,5.356136893775267395e-03,2.137195832568403731e-01,1.138644350301909816e-02,1.643995374004770804e-01,1.617272203896798211e-02,6.023188271013202311e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.916666666666666630e-01,1.200000000000000000e+01,1.175252880242264562e-02,1.623251160065689869e-01,4.964653687305881774e-03,2.144388778805263462e-01,1.175252880242264562e-02,1.623251160065689869e-01,1.548009903357517800e-02,6.087775211389791913e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.200000000000000000e+01,1.211811204790772846e-02,1.596522016610443795e-01,4.936369731839753208e-03,2.148321717769937911e-01,1.211811204790772846e-02,1.596522016610443795e-01,1.484398915903506824e-02,6.213343629402482554e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.083333333333333259e-01,1.300000000000000000e+01,1.284261933831925065e-02,1.569509271387790339e-01,5.013389069067271907e-03,2.149923732107530960e-01,1.284261933831925065e-02,1.569509271387790339e-01,1.434066155729085690e-02,6.358905734459968651e-02,0.000000000000000000e+00,4.214684851089403467e-08
4.166666666666666852e-01,1.300000000000000000e+01,1.350532263690995549e-02,1.544305543827592664e-01,5.439562569761951377e-03,2.151187189487070439e-01,1.350532263690995549e-02,1.544305543827592664e-01,1.386599718391667325e-02,6.505248914179184716e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.249999999999999889e-01,1.300000000000000000e+01,1.408877955229725226e-02,1.516823727002934996e-01,6.095619538460270333e-03,2.149656219729711437e-01,1.408877955229725226e-02,1.516823727002934996e-01,1.338529633564027217e-02,6.665265089446249791e-02,0.000000000000000000e+00,4.214684851089403467e-08
4.333333333333333481e-01,1.300000000000000000e+01,1.464790836392502842e-02,1.486639827993813945e-01,6.889375440246461348e-03,2.144120229744624628e-01,1.464790836392502842e-02,1.486639827993813945e-01,1.294609751994919497e-02,6.834847659224260741e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.416666666666666519e-01,1.400000000000000000e+01,1.467808561036710105e-02,1.458437224715599112e-01,7.296552966104563089e-03,2.141557135037937543e-01,1.467808561036710105e-02,1.458437224715599112e-01,1.255220761977448099e-02,7.026127860054241780e-02,0.000000000000000000e+00,4.214684851089403467e-08
4.500000000000000111e-01,1.400000000000000000e+01,1.462571972310635141e-02,1.428086281381851785e-01,7.757969640008349245e-03,2.137791252393536900e-01,1.462571972310635141e-02,1.428086281381851785e-01,1.210573970085282620e-02,7.250550266673985722e-02,0.000000000000000000e+00,2.980232238769531250e-08
4.583333333333333148e-01,1.400000000000000000e+01,1.454129020868054865e-02,1.396405961661932038e-01,8.219339015470731452e-03,2.135208317893556029e-01,1.454129020868054865e-02,1.396405961661932038e-01,1.164179036692661318e-02,7.526183759180397892e-02,0.000000000000000000e+00,2.980232238769531250e-08
4.666666666666666741e-01,1.400000000000000000e+01,1.445121813222553266e-02,1.364873885604113990e-01,8.646224651255024832e-03,2.129352383355848088e-01,1.445121813222553266e-02,1.364873885604113990e-01,1.123032911010255104e-02,7.792555553805120827e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,1.500000000000000000e+01,1.345954562170523575e-02,1.322953280217271099e-01,9.456890962218997970e-03,2.108191922748569036e-01,1.345954562170523575e-02,1.322953280217271099e-01,1.086234531726877270e-02,8.060434177021327806e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.833333333333333370e-01,1.500000000000000000e+01,1.297871717437538291e-02,1.294388667545821603e-01,1.085932089155966333e-02,2.092339854290468093e-01,1.297871717437538291e-02,1.294388667545821603e-01,1.062328128658112693e-02,8.287640948981768452e-02,0.000000000000000000e+00,4.214684851089403467e-08
