episode,initial_object_xyz,zero_success,v_path_success,zero_termination,v_path_termination,zero_final_lift_m,v_path_final_lift_m
0,"[0.43264180421829224, -0.07406100630760193, 0.012636000290513039]",True,False,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': False, 'success': False, 'object_deviation': True, 'hand_far_from_object': False}",0.24132481776177883,-3.520399332046509e-07
1,"[0.4358360469341278, 0.019203633069992065, 0.012636000290513039]",True,False,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': False, 'success': False, 'object_deviation': True, 'hand_far_from_object': False}",0.23902643285691738,0.030342912301421165
2,"[0.4524625837802887, -0.06907656788825989, 0.012636000290513039]",True,False,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': False, 'success': False, 'object_deviation': True, 'hand_far_from_object': False}",0.2446156796067953,-3.501772880554199e-07
3,"[0.4219668507575989, -0.09639867395162582, 0.012636000290513039]",True,False,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': False, 'success': False, 'object_deviation': True, 'hand_far_from_object': False}",0.24520752392709255,0.023555131629109383
4,"[0.49204766750335693, -0.16133752465248108, 0.012636000290513039]",True,True,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}",0.24107075296342373,0.23697352968156338
5,"[0.4328061640262604, -0.06401297450065613, 0.012636000290513039]",True,True,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}",0.24481130205094814,0.23779801093041897
6,"[0.4915037751197815, -0.08200746029615402, 0.012636000290513039]",True,False,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': False, 'success': False, 'object_deviation': True, 'hand_far_from_object': False}",0.23977929912507534,0.031000962480902672
7,"[0.47363972663879395, -0.1459842324256897, 0.012636000290513039]",True,True,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}",0.2417485173791647,0.24643400870263577
8,"[0.444214791059494, -0.14261123538017273, 0.012636000290513039]",True,True,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}",0.24292302690446377,0.22586368583142757
9,"[0.44460323452949524, 0.05151502788066864, 0.012636000290513039]",True,True,"{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}","{'time_out': False, 'demo_end_reached': True, 'success': True, 'object_deviation': False, 'hand_far_from_object': False}",0.23600687645375729,0.24242556653916836
