object_x_m,object_y_m,success_frames,total_frames,full_sequence_success,max_position_error_m,max_orientation_error_rad
0.4,-0.2,60,60,True,8.163206872778376e-15,2.7142251353497808e-14
0.42500000000000004,-0.2,60,60,True,2.4030622849295204e-15,3.139048567799593e-14
0.45,-0.2,60,60,True,5.58377065106511e-15,3.926743906324281e-14
0.475,-0.2,60,60,True,7.683232647226168e-15,4.9336671015171115e-14
0.5,-0.2,60,60,True,7.542983016623164e-15,4.016484104058602e-14
0.4,-0.1,60,60,True,4.873692562125422e-15,6.658993354541415e-14
0.42500000000000004,-0.1,60,60,True,4.154537779536781e-15,1.3406870712826533e-14
0.45,-0.1,60,60,True,4.138467084494791e-15,3.84628049660187e-14
0.475,-0.1,60,60,True,5.264274988616839e-15,1.2966977516663625e-14
0.5,-0.1,60,60,True,1.933868610637473e-14,2.4884338651929955e-13
0.4,0.0,60,60,True,6.952013358061716e-15,6.693199418086605e-14
0.42500000000000004,0.0,60,60,True,2.9468086265486903e-15,2.903750776121539e-14
0.45,0.0,60,60,True,6.707240516577015e-15,2.7587712423730082e-14
0.475,0.0,60,60,True,6.767410413559289e-15,3.636298525116206e-14
0.5,0.0,60,60,True,7.69380663566202e-15,5.0111782569061495e-14
0.4,0.10000000000000003,60,60,True,2.4216242664097778e-15,2.952721810741187e-14
0.42500000000000004,0.10000000000000003,60,60,True,8.989446183430469e-15,5.790085336248394e-14
0.45,0.10000000000000003,60,60,True,8.165094079487775e-15,5.73119282879242e-14
0.475,0.10000000000000003,60,60,True,5.6773722920255295e-15,6.26763280053768e-14
0.5,0.10000000000000003,60,60,True,2.7269764761119584e-15,1.0426050665615696e-14
0.4,0.2,60,60,True,6.318768777466118e-15,6.816761613977449e-14
0.42500000000000004,0.2,60,60,True,4.626114302741661e-15,5.926767228041579e-14
0.45,0.2,60,60,True,5.4065695523068706e-15,4.757064764087226e-14
0.475,0.2,60,60,True,6.783499021541564e-15,4.396380033516468e-14
0.5,0.2,60,60,True,3.800081936355517e-15,2.018603844593974e-14
