method,placement_id,x,y,state,yaw_deg,task_success,lift_contact_success,termination,final_lift_m,ik_failures,wrist_p95_m,max_actual_accel
fixed,0,0.3,-0.6,initialization_screen_failed,,,,,,,,
fixed,1,0.4,-0.6,initialization_screen_failed,,,,,,,,
fixed,2,0.3,-0.44999999999999996,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22605576179921627,0,0.03983438368886709,95.70315599441528
fixed,3,0.4,-0.44999999999999996,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22837150655686855,0,0.040199803002178666,152.39081382751465
fixed,4,0.5,-0.44999999999999996,failed,0.0,False,False,"{""time_out"": false, ""demo_end_reached"": false, ""success"": false, ""object_deviation"": true, ""hand_far_from_object"": false}",-3.4458935260772705e-07,53,0.06780127584934234,1198.7445899052545
fixed,5,0.6000000000000001,-0.44999999999999996,initialization_screen_failed,,,,,,,,
fixed,6,0.3,-0.29999999999999993,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22680706344544888,0,0.03948966003954411,171.89855575561523
fixed,7,0.4,-0.29999999999999993,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22853117249906063,0,0.040610894560813904,146.4861559867859
fixed,8,0.5,-0.29999999999999993,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22895815037190914,0,0.040691621229052545,153.03769826889038
fixed,9,0.6000000000000001,-0.29999999999999993,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22931902669370174,0,0.04107407964766026,160.3332370519638
fixed,10,0.3,-0.1499999999999999,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.225330775603652,0,0.03916543945670128,144.12981748580933
fixed,11,0.4,-0.1499999999999999,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22832699678838253,0,0.04007372409105301,153.05171191692352
fixed,12,0.5,-0.1499999999999999,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22880147956311703,0,0.040339347347617155,126.16745710372925
