method,same_target,same_reset_joints,complete,strict_pose,coarse_clear,velocity_ok,screened_pass,max_step_rad,max_speed_rad_s,max_acceleration_rad_s2,max_position_error_mm,max_rotation_error_deg,min_wrist_axis_separation_deg
recorded_raw_ik,True,True,True,True,True,False,False,0.7981749788234782,95.78099745881738,5789.387357360094,4.8026169540132984e-12,3.0930212847767086e-12,0.7837332888052948
recorded_command,True,True,True,False,True,False,False,0.08333337306976318,10.000004768371582,640.0531768798828,16.84463177484764,6.8387540892986545,0.7837333113251395
warm_start,True,True,True,True,True,False,False,0.7981749788224495,95.78099745869393,5789.387357345655,8.098378883731431e-12,3.5643062982276832e-12,0.7837332888057296
end_margin_01,True,True,True,True,True,False,False,0.7981749788224101,95.78099745868921,5789.38735734486,9.032470430640941e-12,4.442773406714262e-12,0.7837332888057352
initial_branch,True,False,True,True,False,True,False,0.018900700782527036,2.2680840939032443,110.60010279808878,5.377678589054804e-12,3.44504586425326e-12,62.486679020983814
screened_branch,True,False,True,True,True,False,False,0.12809009741853083,15.3708116902237,514.9203220983288,7.774546801431157e-12,3.011680058897977e-12,4.326646718513582
bounded_speed,True,True,True,False,True,True,False,0.08333333333333304,9.999999999999964,2396.7022837136506,0.4247062734996114,0.8091748763875284,0.20645810188253738
bounded_speed_accel,True,True,True,False,True,True,False,0.08333333333333304,9.999999999999964,249.99999999999753,1.0770022794332184,2.1504173310519406,0.070446446854664
yaw_-60,False,False,True,True,True,True,True,0.020997741732637798,2.5197290079165358,98.80686263310797,4.183318662577483e-12,1.3999059320863175e-12,61.467589880977656
yaw_-30,False,False,True,True,True,True,True,0.03733499274858931,4.4801991298307176,180.1157679310361,5.836348169995074e-12,3.3632734613536465e-12,28.142405007218006
yaw_-15,False,False,True,True,True,True,True,0.047344792807426095,5.681375136891131,195.54597859993157,6.930951263489157e-12,3.742223878704024e-12,13.448427969077324
yaw_+15,False,False,True,True,True,True,True,0.016733518102857593,2.008022172342911,101.72509055130581,4.848991207050345e-12,3.1295773218901306e-12,35.655419533355776
yaw_+30,False,False,True,True,True,True,True,0.014155964381425135,1.6987157257710161,84.42924478170646,4.1004107616799286e-13,1.9901353577630628e-13,57.23579961514998
yaw_+60,False,False,True,True,True,True,True,0.010732924001201238,1.2879508801441486,65.4267536573343,3.7341307954279785e-13,7.047638390378532e-14,83.75948284128988
yaw_+90,False,False,True,True,True,True,True,0.011747058359780627,1.4096470031736752,71.19973198884075,1.1861247086098814e-12,6.304401750627225e-13,63.214845972426424
