scan_index,x_m,y_m,condition,yaw_deg,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad
1410,0.42,0.04,before,0.0,True,True,True,8.069999211575904,0.0672499934297992,189.80502543066004,2.428329581201497e-12,8.588846624390761e-11,True,3,0.1408671007280362
1410,0.42,0.04,after,70.0,True,True,True,1.6363850848904615,0.01363654237408718,81.0961091134228,2.4912465244908755e-16,7.870063977598499e-16,True,4,1.1627026295553218
1411,0.44,0.04,before,0.0,True,True,True,8.559864688565986,0.07133220573804988,195.11122126750635,3.173768454399231e-15,5.006208889933249e-14,True,3,0.20269604678832698
1411,0.44,0.04,after,70.0,True,True,True,1.5903397297044997,0.01325283108087083,82.41070410019287,3.554447978966673e-16,1.1683745737483644e-15,True,4,1.255046992672017
1412,0.46,0.04,before,0.0,True,True,True,8.773411045095774,0.07311175870913145,200.57269754180496,1.2792602559660762e-12,5.011883211195253e-11,True,3,0.26593664505255976
1412,0.46,0.04,after,70.0,True,True,True,1.5376035161241663,0.012813362634368053,84.89933732823118,5.812540412712249e-16,2.6972936358352276e-15,True,4,1.0169544783637567
1413,0.48,0.04,before,0.0,True,True,True,9.310436147736167,0.0775869678978014,209.3559257784733,9.764766921113541e-15,5.855509692775318e-14,True,3,0.3307386311898797
1413,0.48,0.04,after,70.0,True,True,True,1.4771454313019383,0.012309545260849486,89.36032344812936,2.5069389188356857e-15,1.2983558686751715e-14,True,4,1.4519348774760772
1414,0.5,0.04,before,0.0,True,True,True,9.551250753284757,0.07959375627737297,210.19346703367745,5.5132077519858476e-15,6.27238734278297e-14,True,3,0.39718584908738075
1414,0.5,0.04,after,65.0,True,True,True,1.5011005951436562,0.012509171626197135,89.89507689342062,3.1315943902536954e-15,1.5387006228222796e-14,True,1,1.0569439850190694
1415,0.52,0.04,before,0.0,True,True,True,9.556500185740306,0.07963750154783589,204.46180351625287,8.813340699904993e-13,3.8396977040626056e-11,True,3,0.46530332497533866
1415,0.52,0.04,after,55.0,True,True,True,1.5408474368589165,0.012840395307157637,84.91999664156324,1.1360518491611624e-15,7.721838581466774e-15,True,1,1.3048056855696066
1416,0.54,0.04,before,0.0,True,True,True,9.448309167436024,0.07873590972863354,211.025086608689,5.848465986833237e-12,2.6671108983234176e-10,True,3,0.5351612766338278
1416,0.54,0.04,after,50.0,True,True,True,1.5821333595786191,0.01318444466315516,83.97531219136773,2.377601642993505e-15,3.4443808256789035e-14,True,1,0.2893982858038582
1417,0.56,0.04,before,0.0,True,True,True,9.427393996181195,0.07856161663484329,214.10386001761168,9.659951943581627e-13,4.3583849509880784e-11,True,3,0.6068154463549096
1417,0.56,0.04,after,45.0,True,True,True,1.6195887637464512,0.013496573031220427,82.58130205534897,1.2710114229825055e-15,1.2068537923139296e-14,True,1,1.2701427909189698
1418,0.58,0.04,before,0.0,True,True,True,9.48732458328994,0.07906103819408283,214.62603163589708,1.154199235962988e-12,5.3416337341441326e-11,True,3,0.6803582761474238
1418,0.58,0.04,after,35.0,True,True,True,1.6490318358912015,0.013741931965760013,77.52911223692927,9.647807741255788e-16,8.449966080299517e-15,True,1,1.1619350049002544
1419,0.6,0.04,before,0.0,True,True,True,9.44235180991841,0.07868626508265342,212.99469437869902,8.535307675617263e-13,4.11574628420247e-11,True,3,0.7560027607944229
1419,0.6,0.04,after,35.0,True,True,True,1.6719328192164262,0.013932773493470219,78.53767720308333,1.8654142230397135e-15,1.666860394565424e-14,True,1,1.2481591119748647
1420,0.62,0.04,before,0.0,True,True,True,9.563158851378164,0.07969299042815137,208.77858912525903,5.7127837019741376e-12,2.816726759989139e-10,True,3,0.8340123354708975
1420,0.62,0.04,after,35.0,True,True,True,1.7504232071159986,0.014586860059299989,80.77469091097882,6.337835425846302e-15,5.2335535376080264e-14,True,3,1.339843247379721
1421,0.64,0.04,before,0.0,True,True,True,9.73395535594518,0.0811162946328765,201.79022577769317,1.0798060471637326e-14,5.208987688087546e-14,True,3,0.914717182644001
1421,0.64,0.04,after,35.0,True,True,True,1.8413474482131509,0.015344562068442924,85.17830298562465,2.1453017682448188e-14,1.5368166975901127e-13,True,3,1.4383861067949957
1422,0.66,0.04,before,0.0,True,True,True,9.791925298932362,0.08159937749110302,207.18690264363744,2.4312246025172326e-12,1.1789093851982726e-10,True,3,0.14040978934030157
1422,0.66,0.04,after,30.0,True,True,True,2.030786702298535,0.016923222519154457,81.2166919239786,1.7282450236194447e-14,1.5518198919970355e-13,True,3,0.48692136279846476
1423,0.68,0.04,before,0.0,True,True,True,9.596151530038046,0.07996792941698372,205.5739699696872,1.6666521257398985e-12,8.034784498905823e-11,True,3,1.086273212111709
1423,0.68,0.04,after,25.0,True,True,True,2.044266694849899,0.017035555790415824,105.0368750941562,4.0878095256176045e-15,2.365548618882356e-14,True,3,1.4427564463038494
1424,0.7000000000000001,0.04,before,0.0,True,True,True,9.310691832147917,0.07758909860123264,195.2614265408009,8.241586341651565e-15,6.729009393008898e-14,True,3,0.9093698669882331
1424,0.7000000000000001,0.04,after,20.0,True,True,True,2.0790900035115545,0.017325750029262954,116.65598727458573,2.298169307991167e-14,1.1640703634411308e-13,True,3,0.14705186039678697
1425,0.72,0.04,before,0.0,True,True,True,9.278250553468936,0.07731875461224114,197.75767946883818,3.782863895583484e-12,1.823081172893422e-10,True,3,0.1662988855907237
1425,0.72,0.04,after,15.0,True,True,True,3.1178820855560474,0.02598235071296706,120.77575732335788,1.0922171674730961e-14,6.785357835354525e-14,True,3,0.5304409056455812
1445,0.4,0.06,before,0.0,True,True,False,11.846048860038257,0.09871707383365214,268.96092999566747,2.0616257199141842e-14,2.3412885788175697e-13,True,3,0.05713597795424441
1445,0.4,0.06,after,75.0,True,True,True,1.6716036964121628,0.01393003080343469,80.50903284480952,3.030954607830199e-16,1.025079205553247e-15,True,4,1.1172586174514767
1446,0.42,0.06,before,0.0,True,True,False,12.80688313390045,0.10672402611583709,325.63393182880804,6.155248691887286e-15,5.787271627454812e-14,True,3,0.11984557096378445
1446,0.42,0.06,after,75.0,True,True,True,1.6312088538078218,0.013593407115065181,81.42443200985454,3.11864493316497e-16,1.4853771724010092e-15,True,4,0.2676403700692429
1447,0.44,0.06,before,0.0,True,True,False,14.901748845260126,0.12418124037716771,393.95633460896187,1.1493087522235494e-14,5.368102783035869e-14,True,3,0.18373930089708201
1447,0.44,0.06,after,75.0,True,True,True,1.5847652810411894,0.013206377342009912,83.34060404161754,4.552252871008668e-16,1.4357978313370226e-15,True,4,1.3053296211459
1448,0.46,0.06,before,0.0,True,True,False,15.982718664645592,0.13318932220537993,455.0486634459361,7.43104676061625e-15,6.76763662798038e-14,True,3,0.11903697167546934
1448,0.46,0.06,after,75.0,True,True,True,1.5314575588024582,0.012762146323353818,86.84711904903644,1.721349243889735e-15,1.116395360296243e-14,True,4,1.0025984916535418
1449,0.48,0.06,before,0.0,True,True,False,16.340105475880016,0.13616754563233346,468.7936843574903,4.96511194459844e-15,6.145104117530389e-14,True,3,0.10325166720521484
1449,0.48,0.06,after,70.0,True,True,True,1.4729432013375643,0.012274526677813036,87.69812911585859,2.3553431182754313e-15,1.567086779922523e-14,True,4,1.0378183616691672
1450,0.5,0.06,before,0.0,True,True,False,17.848972837281153,0.14874144031067627,452.7997273405921,5.932230804328278e-15,6.017623092113665e-14,True,3,0.3821096517394107
1450,0.5,0.06,after,65.0,True,True,True,1.5039500410694018,0.012532917008911681,88.01038371692727,2.1603931649651243e-15,1.0443918210439985e-14,True,1,1.3917792496888972
1451,0.52,0.06,before,0.0,True,True,False,18.090494695272206,0.1507541224606017,492.9904817191584,1.9482369126317105e-14,7.772202173239518e-13,True,3,0.08549380824747033
1451,0.52,0.06,after,60.0,True,True,True,1.5448119773259794,0.012873433144383162,87.75937429703156,4.353026480144261e-15,3.330400759170296e-14,True,1,1.3742493462390193
1452,0.54,0.06,before,0.0,True,True,False,17.419011449446984,0.14515842874539153,499.8740137862711,1.0001909513453785e-14,3.7106340990757813e-13,True,3,0.08196363422061204
1452,0.54,0.06,after,50.0,True,True,True,1.5868637265078478,0.013223864387565398,82.67335692026859,1.0016071625299566e-15,1.1138530705325108e-14,True,1,1.2506517573774039
1453,0.56,0.06,before,0.0,True,True,False,16.567947957996054,0.13806623298330045,482.36692980168704,5.406134278079866e-15,4.650504673455078e-14,True,3,0.5760083335295603
1453,0.56,0.06,after,45.0,True,True,True,1.6219421026438985,0.013516184188699154,81.2611241535942,1.1565285756854153e-15,1.049894775989867e-14,True,1,1.2364571703108904
1454,0.58,0.06,before,0.0,True,True,False,15.965160865267327,0.13304300721056106,457.9668330959109,5.659612372206747e-15,4.6536867995401236e-14,True,3,0.6012072285786125
1454,0.58,0.06,after,40.0,True,True,True,1.6498523013127375,0.013748769177606146,79.44207454357937,1.53442150565397e-15,1.8913016634029157e-14,True,1,1.2258995741172614
1455,0.6,0.06,before,0.0,True,True,False,15.692269030340249,0.13076890858616874,436.5891680692862,3.5393953801216032e-15,6.414353589928206e-14,True,3,0.042937430544498056
1455,0.6,0.06,after,40.0,True,True,True,1.689088847640745,0.014075740397006209,81.5712992364988,3.0871450127585904e-15,1.9212713378727222e-14,True,1,1.3162641317671198
1456,0.62,0.06,before,0.0,True,True,False,15.600956888924031,0.13000797407436693,416.6635062918239,2.47041190007312e-15,4.069125294088813e-14,True,3,0.08614958237340442
1456,0.62,0.06,after,40.0,True,True,True,1.759711768000538,0.014664264733337817,85.72000333378647,1.6680385103639998e-14,1.076740200340584e-13,True,1,1.413297665960282
1457,0.64,0.06,before,0.0,True,True,False,15.396247714830418,0.12830206429025348,391.18200814115414,4.6384261062333736e-15,5.898746754962887e-14,True,3,0.09083570758939263
1457,0.64,0.06,after,35.0,True,True,True,1.8720562080544578,0.015600468400453815,82.35735267464506,1.3310216600240198e-14,1.0018967772205657e-13,True,3,0.9637211093440934
1458,0.66,0.06,before,0.0,True,True,False,14.741576080900618,0.12284646734083848,355.4349511066143,3.5821111500820454e-15,2.355341720863253e-14,True,3,0.9877002418666401
1458,0.66,0.06,after,35.0,True,True,True,2.0621102076033093,0.017184251730027578,91.37471402643467,1.2811009799030172e-14,7.787496361045977e-14,True,2,1.514787667425725
1459,0.68,0.06,before,0.0,True,True,False,13.4456404026513,0.1120470033554275,316.0868701898238,5.4801097983355665e-15,2.1675865392527397e-14,True,3,0.4446272956285737
1459,0.68,0.06,after,30.0,True,True,True,2.083142972698564,0.017359524772488033,101.51123695643562,8.77819170831486e-15,4.671871056703713e-14,True,2,1.5177269526261306
1460,0.7000000000000001,0.06,before,0.0,True,True,False,13.016664362248287,0.10847220301873572,318.14757777531713,7.464060156611543e-15,2.996189961672574e-14,True,3,1.1673142725540655
1460,0.7000000000000001,0.06,after,25.0,True,True,True,2.095127204359688,0.017459393369664067,112.89004175619866,1.2459726448770174e-14,9.804594621244539e-14,True,2,0.14120906279241563
1461,0.72,0.06,before,0.0,True,True,False,12.295458087209123,0.1024621507267427,289.5361214653953,2.679707035787272e-15,1.7480012012025013e-14,True,3,0.3997468186204003
1461,0.72,0.06,after,-45.0,True,True,True,5.684742285319917,0.047372852377665975,235.44338149002044,1.0345087990040862e-14,5.2881667355104506e-14,True,5,1.2558538610068775
1462,0.74,0.06,before,0.0,True,True,False,10.853087680768443,0.09044239733973702,246.25375967539114,1.746061904975859e-14,7.360158138043161e-14,True,3,1.3680558757159238
1462,0.74,0.06,after,15.0,True,True,True,2.1022494065209507,0.017518745054341256,131.36565833758453,2.253373718038701e-14,1.1112968824157071e-13,True,2,1.579027826173004
1463,0.76,0.06,before,0.0,True,True,True,9.999999999999964,0.08333333333333304,208.38521707914134,4.230507854783348e-06,0.00019784876219974628,True,3,1.4798235478935906
1463,0.76,0.06,after,10.0,True,True,True,2.191508891036942,0.018262574091974515,145.636918484891,3.480261709771254e-14,1.5215673131294924e-13,True,2,0.9120252866148446
1481,0.4,0.08,before,0.0,True,True,False,21.43147823533603,0.17859565196113358,542.5663242868817,1.2762391619402661e-14,1.6953002416322654e-13,True,3,0.04040317861151976
1481,0.4,0.08,after,75.0,True,True,True,1.6655033384354745,0.013879194486962287,80.68896606639112,2.779024842816778e-16,9.518179688573627e-16,True,4,1.0909068926896912
1482,0.42,0.08,before,0.0,True,True,False,28.149387065755885,0.2345782255479657,711.2360283180005,1.016617876307093e-14,7.674686303671446e-14,True,3,0.10458389478253327
1482,0.42,0.08,after,75.0,True,True,True,1.624132771274196,0.0135344397606183,81.33658391139491,3.002224531865041e-16,1.1018648905114063e-15,True,4,1.1819027335341983
1483,0.44,0.08,before,0.0,True,True,False,34.084397726840216,0.28403664772366843,948.3865962795982,4.08672576031055e-15,5.551050601879529e-14,True,3,0.16991370683679463
1483,0.44,0.08,after,75.0,True,True,True,1.5768198002349898,0.013140165001958248,82.89532064675704,3.1309716410295113e-16,1.428266430710657e-15,True,4,1.2782135161535515
1485,0.48,0.08,before,0.0,True,True,False,56.952809903269106,0.4746067491939092,1904.8131832470276,1.1758188618183352e-14,4.2682212410055327e-13,True,3,0.3036197388238788
1485,0.48,0.08,after,70.0,True,True,True,1.468213743912834,0.01223511453260695,86.45437820059207,1.2543094401183198e-15,5.584598387299587e-15,True,4,1.3696383946709134
1486,0.5,0.08,before,0.0,True,True,False,57.65056234667217,0.4804213528889347,2112.5278370558535,4.356940267762778e-15,8.459597523253408e-14,True,3,0.3719413628536632
1486,0.5,0.08,after,65.0,True,True,True,1.5103108828727452,0.012585924023939543,86.57663588609061,1.823490622126849e-15,7.008049252525984e-15,True,1,1.354305946387745
1487,0.52,0.08,before,0.0,True,True,False,65.81131439799937,0.548427619983328,3246.900345845121,4.655847860815649e-15,2.494625608654065e-14,True,3,0.44141341244152965
1487,0.52,0.08,after,60.0,True,True,True,1.548229065895681,0.012901908882464008,86.1960202431515,2.3351414200308256e-15,2.837450744001962e-14,True,1,0.21667981586984908
1488,0.54,0.08,before,0.0,True,True,False,66.19497764376123,0.5516248136980103,3660.6859342756966,6.559721437509827e-15,4.0408355805773346e-14,True,3,0.5070863553210812
